team,rating,matches,last_match_date
Ubangi-Shari,1509.4757367499792,1,1956-12-31
Libya,1509.3919855542506,438,2025-03-25
Kenya,1509.2435535053849,722,2025-06-10
Korea,1508.8105383952504,1,1942-08-16
British Honduras,1507.8146276007803,2,1963-04-01
Bulgaria,1507.601440176827,762,2025-06-10
Zambia,1507.3945695886034,815,2025-06-11
Malaya,1507.3373266322487,76,1963-08-16
Portuguese Guinea,1506.3288584158352,5,1960-10-02
Rhodesia,1505.589715481742,14,1979-05-19
El Salvador,1505.3278598478955,672,2025-06-24
Curaçao,1505.0428811142351,260,2025-06-24
Kurdistan,1503.9782396544472,2,2012-05-19
Belarus,1502.8784324865155,293,2025-06-10
Mozambique,1502.1818772733257,404,2025-06-10
Sint Eustatius,1501.9985461666417,3,2004-12-11
Guadeloupe,1501.7082807860309,291,2025-06-24
Solomon Islands,1501.0987373469761,218,2024-12-21
Congo-Leopoldville,1500.7377460457378,9,1964-07-19
Northern Cyprus,1499.6004185073416,13,2012-06-08
Uganda,1498.4277277504875,705,2025-06-09
Comoros,1495.4394031954166,144,2025-06-15
British India,1494.7872965343342,7,1941-08-31
Malaysia,1494.0608149445225,839,2025-06-10
Indonesia,1493.4833533285043,771,2025-06-10
Ruanda-Urundi,1492.094482484483,1,1953-09-19
Benin,1491.316102937554,284,2025-06-09
Belgian Congo,1490.3929732211848,5,1956-01-02
French Dahomey,1489.71225631668,1,1954-12-31
Falkland Islands,1488.1243791916804,1,2013-07-15
Chagos Islands,1487.9651904426814,1,2018-06-09
Dahomey,1485.313879261448,51,1974-03-10
Gambia,1483.7043096873083,281,2025-06-09
Kuwait,1483.5416751392752,729,2025-06-10
Niue,1482.844959238954,2,1983-08-22
Dutch East Indies,1481.9256274890552,6,1938-06-26
Southern Rhodesia,1481.190043450335,16,1958-12-31
French Sudan,1480.8447924167508,2,1955-12-31
Tanzania,1478.7260162946018,559,2025-06-11
Monaco,1478.6466824278357,3,2006-04-22
Bohemia,1477.7735964163749,7,1908-06-13
Palau,1476.790048552346,2,1998-08-01
Namibia,1476.4114938394755,296,2025-06-10
Zimbabwe,1475.527824718695,483,2025-06-10
Lebanon,1472.7160728919253,390,2025-06-10
Togo,1472.654325908233,475,2025-03-25
Dominican Republic,1471.800225461736,181,2025-06-22
Burma,1470.8058970407344,274,1987-09-19
Luxembourg,1463.8520306926207,460,2025-06-10
Aden,1462.2001768980326,4,1965-09-07
Nicaragua,1460.0869905028958,244,2025-06-10
Sudan,1459.7142283915657,529,2025-03-25
Mauritania,1459.0206122823,288,2025-06-10
Botswana,1458.9299861117254,344,2025-07-06
North Vietnam,1458.216257646576,25,1970-09-20
Kyrgyzstan,1457.6412528398473,185,2025-06-10
Nyasaland,1456.0847754850772,5,1964-07-04
Rwanda,1455.4596796304581,282,2025-06-05
Saint Barthelemy,1454.5129863295558,10,2023-03-10
Papua New Guinea,1453.8089917591005,160,2024-12-21
Tanganyika,1448.2798623838526,54,1967-10-10
Armenia,1447.9920886065295,273,2025-06-09
Saar,1445.8691406504277,11,1956-06-06
Tajikistan,1445.771329955114,205,2025-06-10
Saint Pierre and Miquelon,1442.827460091142,6,2012-09-28
Tibet,1440.7704518305184,6,2007-11-02
Mayotte,1440.6207642821503,40,2023-08-26
